Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness
2.47917,4.20833,3.9375,3.95833,3.45833
2.60417,3.1875,3.95833,3.39583,3.22917
2.8125,2.89583,3.41667,2.75,3.5
2.89583,3.5625,3.52083,3.16667,2.79167
3.02083,3.33333,4.02083,3.20833,2.85417
2.52083,3.29167,3.4375,3.70833,2.5
2.35417,4.41667,4.58333,3.0625,3.33333
2.52083,3.5,2.89583,3.66667,3.0625
3.10417,3.8125,4.0625,3.77083,2.83333
2.6875,3.54708,3.78667,3.35417,3.10417
2.625,3.45833,2.89583,3.45833,3.375
2.375,3.77083,3.16667,3.5,3.52083
3.0625,3.41667,3.77083,3.8125,3.125
3.125,2.52083,2.64583,3.75,3.20833
2.58333,3.02083,3.5,3.41667,3.58333
2.97917,3.3125,3.35417,3.64583,3.47917
2.79167,3.79167,3.375,3.95833,2.72917
2.5625,3.54167,3.875,3.85417,3.3125
2.4375,3.72917,2.91188,3.625,2.77083
3.0625,3.25,3.3125,3.48875,3.5
3.22917,2.91667,3.41667,2.9375,2.77083
2.41667,3.4375,3.77083,3.5,3.5625
2.85417,3.64583,3.33333,3.10417,3.5
2.875,4.08333,3.3125,3,2.60417
2.85417,3.5625,4.04167,3.75,3.22917
2.875,3.58333,3.91667,3.875,3.41667
3.125,3.625,3.77083,3.89583,3.125
2.75,3.83333,3.8125,2.97917,2.58333
3.22917,3.20833,3.60417,3.52083,2.96167
2.5625,3.83333,3.41667,3.39583,3.58333
2.9375,3.0625,3.79167,3.375,2.85417
2.75,3.64583,3.6875,3.29167,3.32104
3.0625,3.14583,4.125,3.4375,3.14583
3.125,3.70833,3.5,3.54167,2.6875
1.91667,4.10417,3.64583,3.85417,2.70833
2.75,3.54167,3.54167,3.04167,3.20833
3.10417,3.47917,4.04167,3.70833,3.0625
3.02083,3.20833,3.83333,3.4375,2.75
2.16667,3.45833,3.5625,3.875,4
3.6875,3.5,3.875,3.41667,2.89583
2.20833,3.66667,3.72917,3.52083,3.25
2.10417,3.77083,3.22917,3.79167,3.64583
2.58333,3.6875,3.45833,3.47917,3.25
2.8125,3.375,3.25,3.875,3.04167
2.33333,4.1875,3.91667,4.125,3.125
3.04167,3.25,3.16667,3.4375,3.125
3.70833,3.72917,3.95833,3.0625,2.6875
3,3.35417,3.125,3.29167,3.22917
2.91667,3.5625,3.625,3.4375,3
2.77083,3.33333,3.27083,3.5625,3.60417
2.9375,4.22917,3.77,3.6875,2.625
2.6875,3.41667,3.1875,3.0625,3.47917
3.4375,3.02083,3.5625,3.41667,2.79167
3.02083,3.64583,3.22917,2.875,3.47917
2.85417,3.29167,3.75,3.29167,3.27083
3.39583,3,3.41667,3.41667,2.45833
2.79167,3.83333,3.79167,3.375,2.85417
3.39583,3.35417,3.10417,3.35417,3.39583
2.58333,3.35417,3.91667,3.75,3
3.875,2.64583,3.625,2.52083,3.29167
3,3.66667,3.47917,3.35417,3.02083
2.60708,3.54167,3.72917,3.31438,3.47917
2.87792,2.97917,3.25,2.98104,3.25
3.29167,3.5,3.61042,2.8125,3.16667
2.79167,3.39583,3.16667,3.08333,2.60417
2.80042,3.625,3.27083,3.35417,2.72917
2.77083,3.41667,3.58333,3.41667,3.58333
3.10417,3.375,3.20833,3.875,3.0625
3.19479,3.45833,3.79167,3.64583,2.52083
2.91667,3.4375,3.60417,3.35417,3.05625
3.02083,3.60417,3.20833,2.77083,3.35417
2.52083,3.47917,3.54167,3.4375,2.625
3.0625,3.72917,3.89583,3.04167,2.54167
2.97917,3.54167,3.875,3.27083,3.29167
3.10417,2.75,3.5625,3.04167,2.6875
3.60417,3.5,3.45833,3.47917,3.58333
2.6875,3.47917,3.97917,3.33333,3.875
1.64583,3.95833,3.89583,4.02083,4.41667
2.52083,3.6875,3.89583,3.41667,3.72917
3.5,3.47917,3.52083,3.08333,3.35417
3.58333,2.58333,3.08333,3.45833,3
3,3.41667,3.39583,3.375,3.15958
3.79167,3.02083,4.4375,3.4375,2.83333
1.75,4.22917,3.64583,3.89583,3.70833
3.10417,3.35417,3.8125,3.20833,2.4375
3.6875,2.95833,3.20833,3.41667,2.85417
3.70833,2.77083,3.83333,2.72917,3.52083
3.25,3.27083,3.33333,3.39583,2.89583
2.33333,3.58333,3.72917,3.7875,2.8125
2.35417,3.5625,3.29979,3.79167,2.75
2.60417,2.97917,3.64583,3.10417,3.58333
3.14583,3.77083,3.72917,3.375,2.95833
3.29167,3.16667,3.8125,3.14583,3.41667
3.14583,3.29167,3.22917,3.52083,2.97917
2.85417,2.83333,2.89583,3.5625,3.29167
2.83333,3.3125,3.39583,3.47917,3.27083
3.3125,3.64583,4.10417,3.83333,2.58333
2.52083,3.25,3.5,3.12562,3.125
2.83333,3.875,3.5,3.4375,4.1875
